FW11209,1,2/29/2024,Calvin Keith,gravesmark@robertson.net,Smart Weighing Scale,1,59.99,3.6124
FW28584,1,3/12/2024,Roberto Collins,patricia84@gmail.com,Fitness Tracker Band,2,179.98,14.0453
FW88722,1,8/7/2024,Walter Baker,collinsdiana@gmail.com,Smart Weighing Scale,2,119.98,8.4058
FW80672,1,5/1/2024,Gabrielle Craig,jquinn@gmail.com,"Ankle Weights, Pair",1,27.99,1.9363
FW34416,1,5/13/2024,Anita Potter,franklinteresa@harris-ruiz.biz,"Kettlebell, 20lb",1,49.99,3.5938
FW48338,1,8/3/2024,Jason Becker,pbailey@yahoo.com,Massage Gun,1,139.99,12.2132
FW93444,1,2/13/2024,Michael Clarke MD,brownadam@hayes-ramirez.com,Adjustable Bench,3,329.97,29.6673
FW26272,1,12/13/2024,Christopher Johnson,bradleyspence@wilson.com,Pull-Up Bar,2,69.98,5.7752
FW38744,1,3/21/2024,Kristen Miller,wbecker@macias.com,Smart Weighing Scale,1,59.99,5.3949
FW27446,1,5/14/2024,Kimberly Owen,vincent63@jones.com,Pilates Ring,1,17.99,1.5138
FW20619,1,7/31/2024,Terry Wolf,robertsshaun@hotmail.com,Pull-Up Bar,3,104.97,7.076
FW62958,1,3/20/2024,April Becker,bensonandrea@hotmail.com,Pull-Up Bar,1,34.99,2.2679
FW48856,1,10/5/2024,Felicia Smith,nrice@hotmail.com,Adjustable Bench,3,329.97,22.6504
FW59231,1,8/14/2024,Danielle Gonzalez,michaelburns@hotmail.com,Massage Gun,1,139.99,9.7819
FW86092,1,10/5/2024,Justin Elliott,christinanorton@lucas.com,"Exercise Ball, 65cm",3,68.97,4.2521
FW63972,1,11/13/2024,Jordan Gray,williamsolivia@gmail.com,Pull-Up Bar,2,69.98,4.6484
FW47267,1,12/6/2024,Tyler Castro,michaelcampbell@gmail.com,Fitness Tracker Band,1,89.99,7.4602
FW44358,1,5/1/2024,Richard Lopez,jacobmorgan@hotmail.com,"Kettlebell, 20lb",1,49.99,3.697
FW36169,1,8/2/2024,Julia Thomas,nosborne@delgado.com,Pull-Up Bar,2,69.98,4.2583
FW84144,1,4/10/2024,Travis Moore,joshua06@yahoo.com,Resistance Bands Set,1,39.99,3.3059
FW66866,1,3/20/2024,Brad Lang,ronald41@yahoo.com,Fitness Tracker Band,2,179.98,13.0768
FW42764,1,8/5/2024,Megan Little,allisonhenry@yahoo.com,Fitness Tracker Band,1,89.99,7.1684
FW20793,1,3/15/2024,Joshua Miller,garrett15@hotmail.com,Smart Weighing Scale,2,119.98,9.6505
FW85073,1,8/28/2024,Kathy Hall,amandarivas@rodriguez.com,Adjustable Dumbbells,3,389.97,28.3818
FW45099,1,6/12/2024,Travis Thomas Jr.,anthonyguzman@kline.com,"Yoga Mat, Eco",2,49.98,4.3774
FW29775,1,1/27/2024,Bernard Middleton,watkinschad@mclean.com,Smart Weighing Scale,2,119.98,9.7459
FW28742,1,1/7/2024,John Brown,tracy19@jones.biz,Pull-Up Bar,3,104.97,7.5679
FW61183,1,7/12/2024,Ashley Murray,spratt@yahoo.com,Treadmill Lubricant,1,12.49,0.9911
FW17472,1,2/5/2024,Kimberly Gonzales,nwhite@hotmail.com,"Yoga Mat, Eco",2,49.98,4.1848
FW55887,1,5/17/2024,Ralph Tran,dmendoza@yahoo.com,"Yoga Mat, Eco",2,49.98,4.4653
FW79177,1,8/15/2024,Bobby Baker,stephenmunoz@scott.com,"Jump Rope, Speed",1,14.99,1.3057
FW35784,1,5/10/2024,Kevin Blackburn,oallison@gmail.com,Pull-Up Bar,3,104.97,8.9974
FW36209,1,1/23/2024,Jennifer Vazquez,melanieburnett@taylor.com,"Jump Rope, Speed",2,29.98,1.8683
FW32510,1,5/25/2024,Ryan Meyer,alex96@gmail.com,Fitness Tracker Band,3,269.97,16.9796
FW93384,1,2/8/2024,Derek Gonzales,francosheila@romero-kline.com,Adjustable Dumbbells,1,129.99,9.7145
FW96262,1,6/18/2024,John Wright,jsutton@yahoo.com,"Ankle Weights, Pair",3,83.97,6.9547
FW70153,1,5/20/2024,Matthew Smith,cruzlinda@rush-carroll.com,Treadmill Lubricant,1,12.49,1.0845
FW95477,1,5/13/2024,John Kennedy,joel49@hotmail.com,"Ankle Weights, Pair",3,83.97,6.285
FW10174,1,10/9/2024,Dennis Moore,brittany51@rogers-davis.com,Resistance Bands Set,2,79.98,5.9192
