FW29277,1,3/1/2022,Jennifer Taylor,marytrevino@huff.com,Foam Roller,3,59.97,4.4567
FW21126,1,10/19/2022,Ashley Jones,susanfranklin@gmail.com,"Jump Rope, Speed",3,44.97,3.6009
FW43628,1,4/2/2022,Jillian Munoz,cartermatthew@gmail.com,Adjustable Bench,3,329.97,25.0005
FW42234,1,3/2/2022,Michelle Lara,uharrison@hotmail.com,Adjustable Bench,2,219.98,14.4876
FW64901,1,10/18/2022,Gregory Carson,tashacarter@kerr.com,Smart Weighing Scale,2,119.98,9.7306
FW81514,1,5/18/2022,Sean Chapman,madison25@hill-newman.com,"Kettlebell, 20lb",1,49.99,3.6158
FW16399,1,6/8/2022,Susan Jones,jacob18@gmail.com,Treadmill Lubricant,3,37.47,2.6766
FW72530,1,8/21/2022,Kim Reed,qbutler@hotmail.com,"Jump Rope, Speed",2,29.98,2.2239
FW61043,1,8/25/2022,Victoria Edwards,grayphilip@green.net,Adjustable Bench,3,329.97,23.1559
FW69727,1,6/6/2022,Gabriel Leblanc,harperdebbie@hotmail.com,Pilates Ring,3,53.97,3.5763
FW89723,1,4/7/2022,Terri Hughes,wilsonryan@hotmail.com,Pilates Ring,3,53.97,3.3309
FW90841,1,12/12/2022,Victoria Rodriguez,angelaperez@hotmail.com,Foam Roller,2,39.98,2.8473
FW58087,1,7/12/2022,Lawrence Jones,sara07@coleman.org,"Exercise Ball, 65cm",2,45.98,3.8389
FW13564,1,7/29/2022,Jeffrey Price,deansmith@massey.com,"Exercise Ball, 65cm",1,22.99,1.3808
FW15535,1,8/13/2022,Jean Sanchez,fcervantes@gmail.com,Treadmill Lubricant,2,24.98,2.1197
FW20845,1,2/25/2022,Kaitlin Pope,danielsjason@jones.com,Adjustable Bench,1,109.99,9.0286
FW81145,1,8/30/2022,Michele Jackson,lindahughes@ayers.info,"Yoga Mat, Eco",1,24.99,1.6202
FW41601,1,3/3/2022,Yesenia Perry,marymejia@williams-wilson.com,Adjustable Bench,2,219.98,16.7931
FW59088,1,2/9/2022,Maurice Mclean,jonathan40@gmail.com,Resistance Bands Set,3,119.97,10.3661
FW80712,1,3/10/2022,Erika Frazier,heathermoore@hotmail.com,"Kettlebell, 20lb",2,99.98,6.8735
FW46620,1,11/27/2022,Brenda Frazier,samantha81@yahoo.com,Pull-Up Bar,3,104.97,8.7542
FW26676,1,2/19/2022,Michelle Dickerson,andrea01@james-flores.info,Pilates Ring,3,53.97,4.8421
FW19026,1,11/9/2022,Denise Ryan,floreskaren@yahoo.com,Smart Weighing Scale,2,119.98,8.625
FW81636,1,6/23/2022,Thomas Shepherd,julie83@gmail.com,Resistance Bands Set,1,39.99,3.0134
FW40604,1,6/24/2022,David Hensley,larrylove@james-moody.net,Fitness Tracker Band,2,179.98,12.4546
FW81818,1,4/14/2022,Brad Wright,brian57@gmail.com,Adjustable Dumbbells,3,389.97,28.1586
FW58619,1,4/20/2022,Samuel Wilson,smithbridget@gmail.com,"Jump Rope, Speed",1,14.99,0.9706
FW35247,1,5/10/2022,Patrick Stephenson,jbowers@yahoo.com,Fitness Tracker Band,1,89.99,6.6103
FW84024,1,9/13/2022,Sheena Gentry,pamela69@hotmail.com,Fitness Tracker Band,1,89.99,7.6514
FW23285,1,4/29/2022,Jose Morgan,davidprince@hotmail.com,"Ankle Weights, Pair",3,83.97,6.3967
FW96518,1,12/27/2022,Dakota Thompson,tgreen@yahoo.com,"Kettlebell, 20lb",1,49.99,3.1661
FW91005,1,8/13/2022,Daniel Allen,smithjames@yahoo.com,Fitness Tracker Band,3,269.97,18.2067
FW90564,1,7/23/2022,Jamie Nelson,wmaddox@riddle.com,Pull-Up Bar,1,34.99,2.5104
FW10251,1,3/24/2022,Frank Trujillo,ltaylor@allen.info,"Kettlebell, 20lb",2,99.98,7.1921
FW16830,1,5/26/2022,Tiffany Kelley,crystaldalton@yahoo.com,Treadmill Lubricant,3,37.47,2.856
FW97740,1,1/5/2022,Mark Rodriguez,tlee@smith.com,Pull-Up Bar,3,104.97,8.7408
FW92953,1,3/6/2022,Lori Brown,xking@hill.info,Pull-Up Bar,1,34.99,2.4059
FW54458,1,12/17/2022,Teresa Barber,williamsrichard@yahoo.com,"Exercise Ball, 65cm",3,68.97,5.5487
FW49417,1,9/7/2022,Joel Johns,sneal@yahoo.com,"Jump Rope, Speed",2,29.98,2.1349
FW76000,1,7/18/2022,Alicia Cook,katherine53@crane-moyer.biz,Massage Gun,3,419.97,30.9808
FW35536,1,5/17/2022,Mark King,mbauer@yahoo.com,Pilates Ring,1,17.99,1.5142
FW41157,1,11/15/2022,Amy Jackson,lisareyes@gmail.com,"Ankle Weights, Pair",2,55.98,3.4102
FW83223,1,2/23/2022,Scott Dominguez,jasonlucas@hotmail.com,Massage Gun,2,279.98,24.1007
FW84246,1,3/10/2022,Matthew Dixon,tracybryant@green.com,"Exercise Ball, 65cm",2,45.98,3.596
FW12157,1,6/17/2022,Angela Holmes,wendybrown@gmail.com,"Jump Rope, Speed",1,14.99,0.9217
FW50638,1,1/22/2022,Samuel Gonzalez,gary76@gmail.com,Adjustable Bench,1,109.99,8.1705
FW65479,1,2/9/2022,Roberta Barton,thoward@gmail.com,Massage Gun,1,139.99,11.4499
FW35878,1,11/18/2022,Kyle Russo,john15@lutz.org,"Jump Rope, Speed",3,44.97,3.8494
FW96961,1,2/13/2022,Robert Levy,brian34@yahoo.com,Treadmill Lubricant,1,12.49,0.8219
FW88311,1,10/4/2022,Steven Page,bethanytorres@berger.com,Foam Roller,1,19.99,1.3314
FW74610,1,7/11/2022,Elizabeth Gallagher,mbuchanan@yahoo.com,Pull-Up Bar,1,34.99,2.6489
FW24863,1,11/7/2022,Chad Knapp,thompsonjill@hotmail.com,"Jump Rope, Speed",1,14.99,0.9565
FW75958,1,10/15/2022,Matthew Boyer,davidsonapril@gmail.com,Treadmill Lubricant,1,12.49,1.0036
FW68862,1,4/12/2022,Claire Morrison,joneswilliam@hotmail.com,"Kettlebell, 20lb",1,49.99,3.7409
FW87858,1,8/1/2022,Wendy Huff,carlawhite@gmail.com,"Kettlebell, 20lb",2,99.98,8.3442
FW67428,1,7/19/2022,Susan Calderon,michellewilson@yahoo.com,Adjustable Dumbbells,2,259.98,16.1228
FW47378,1,2/27/2022,Steven Smith,rachelbeck@adams.com,Pilates Ring,3,53.97,4.4023
FW74816,1,2/25/2022,Damon Smith,bradleychapman@gmail.com,Pull-Up Bar,3,104.97,8.8955
FW50030,1,8/8/2022,Joshua Williams,ywheeler@lewis-jones.com,Resistance Bands Set,1,39.99,2.6906
FW66029,1,5/5/2022,Martin Hernandez,jason45@gmail.com,"Jump Rope, Speed",1,14.99,1.2402
FW60914,1,10/31/2022,Brandon Bailey,hparker@hotmail.com,"Kettlebell, 20lb",1,49.99,4.2999
FW26052,1,5/12/2022,Shawn Garcia,steven39@graves.biz,Treadmill Lubricant,2,24.98,2.1161
FW78681,1,1/11/2022,Thomas Jones,michael42@yahoo.com,Foam Roller,1,19.99,1.6241
FW82636,1,8/11/2022,Dr. Michael Diaz DDS,lopezrhonda@mccall-williams.com,"Kettlebell, 20lb",3,149.97,12.7412
FW67798,1,3/22/2022,Richard Olson,shannon71@salinas-nichols.com,Massage Gun,1,139.99,10.4733
FW14688,1,4/4/2022,Cynthia Ramirez,qsalazar@yahoo.com,Adjustable Dumbbells,3,389.97,28.4885
FW50478,1,5/15/2022,Alicia Avila,michael52@yahoo.com,Treadmill Lubricant,2,24.98,2.1947
FW30643,1,5/2/2022,Terri Simmons,johnsondavid@rogers-wilcox.org,"Yoga Mat, Eco",3,74.97,6.2023
FW61663,1,12/28/2022,James Lowery,jimcollier@wilson.com,Foam Roller,2,39.98,3.1345
FW95142,1,1/8/2022,Paula Brown,bakeralec@macias.com,Foam Roller,1,19.99,1.2442
FW80054,1,9/5/2022,Jessica Casey,fpotter@hess.info,Foam Roller,1,19.99,1.567
