CustomerID,FirstName,LastName,Email,Product,PurchaseDate,Amount
1,Tom,Jones,tom.jones@example.com,Tablet,2022-01-01,1829.64
2,Maria,Williams,maria.williams@example.com,Laptop,2022-01-03,185.69
3,Laura,Smith,laura.smith@example.com,Smartwatch,2022-01-05,307.99
4,Chris,Smith,chris.smith@example.com,Headphones,2022-01-08,844.1
5,Tom,Garcia,tom.garcia@example.com,Headphones,2022-01-10,336.43
6,Sophia,Martinez,sophia.martinez@example.com,Smartphone,2022-01-13,1917.19
7,Alex,Johnson,alex.johnson@example.com,Smartwatch,2022-01-15,1616.18
8,Tom,Williams,tom.williams@example.com,Tablet,2022-01-18,592.07
9,Laura,Johnson,laura.johnson@example.com,Laptop,2022-01-20,1218.25
10,Chris,Williams,chris.williams@example.com,Smartphone,2022-01-22,1966.43
11,Maria,Davis,maria.davis@example.com,Headphones,2022-01-25,1779.98
12,Laura,Smith,laura.smith@example.com,Tablet,2022-01-27,1241.52
13,Laura,Martinez,laura.martinez@example.com,Tablet,2022-01-30,1817.08
14,Alex,Garcia,alex.garcia@example.com,Laptop,2022-02-01,1979.45
15,Anna,Martinez,anna.martinez@example.com,Headphones,2022-02-04,1512.37
16,Chris,Martinez,chris.martinez@example.com,Smartwatch,2022-02-06,223.47
17,Jane,Martinez,jane.martinez@example.com,Tablet,2022-02-09,863.0
18,Laura,Johnson,laura.johnson@example.com,Laptop,2022-02-11,1691.87
19,Anna,Williams,anna.williams@example.com,Smartwatch,2022-02-13,538.08
20,Jane,Rodriguez,jane.rodriguez@example.com,Headphones,2022-02-16,1678.22
21,Chris,Davis,chris.davis@example.com,Tablet,2022-02-18,328.64
22,John,Brown,john.brown@example.com,Smartwatch,2022-02-21,189.2
23,Sophia,Martinez,sophia.martinez@example.com,Smartwatch,2022-02-23,829.77
24,Anna,Jones,anna.jones@example.com,Smartwatch,2022-02-26,169.79
25,Mike,Johnson,mike.johnson@example.com,Tablet,2022-02-28,1918.81
26,John,Garcia,john.garcia@example.com,Tablet,2022-03-02,1669.79
27,Sophia,Brown,sophia.brown@example.com,Smartphone,2022-03-05,1621.46
28,Alex,Rodriguez,alex.rodriguez@example.com,Headphones,2022-03-07,1296.58
29,Tom,Jones,tom.jones@example.com,Laptop,2022-03-10,511.02
30,Maria,Rodriguez,maria.rodriguez@example.com,Smartwatch,2022-03-12,1084.69
31,Mike,Brown,mike.brown@example.com,Smartphone,2022-03-15,1234.82
32,Alex,Martinez,alex.martinez@example.com,Laptop,2022-03-17,1097.56
33,Chris,Jones,chris.jones@example.com,Smartphone,2022-03-20,594.44
34,Alex,Rodriguez,alex.rodriguez@example.com,Tablet,2022-03-22,1078.97
35,Tom,Garcia,tom.garcia@example.com,Smartwatch,2022-03-24,1033.25
36,Chris,Williams,chris.williams@example.com,Laptop,2022-03-27,1993.04
37,Mike,Smith,mike.smith@example.com,Laptop,2022-03-29,1805.13
38,Tom,Williams,tom.williams@example.com,Laptop,2022-04-01,980.42
39,Jane,Brown,jane.brown@example.com,Laptop,2022-04-03,1283.58
40,Maria,Johnson,maria.johnson@example.com,Laptop,2022-04-06,1520.96
41,Mike,Smith,mike.smith@example.com,Smartphone,2022-04-08,166.24
42,Jane,Davis,jane.davis@example.com,Smartwatch,2022-04-10,1800.35
43,Sophia,Garcia,sophia.garcia@example.com,Tablet,2022-04-13,1734.24
44,Mike,Davis,mike.davis@example.com,Tablet,2022-04-15,969.12
45,Sophia,Jones,sophia.jones@example.com,Tablet,2022-04-18,843.22
46,Chris,Smith,chris.smith@example.com,Tablet,2022-04-20,618.62
47,Jane,Davis,jane.davis@example.com,Smartphone,2022-04-23,1005.69
48,Maria,Davis,maria.davis@example.com,Headphones,2022-04-25,184.32
49,Tom,Rodriguez,tom.rodriguez@example.com,Smartwatch,2022-04-28,1719.17
50,Laura,Williams,laura.williams@example.com,Laptop,2022-04-30,167.3
51,Alex,Rodriguez,alex.rodriguez@example.com,Headphones,2022-05-02,725.2
52,John,Smith,john.smith@example.com,Tablet,2022-05-05,1870.02
53,Maria,Smith,maria.smith@example.com,Headphones,2022-05-07,1496.9
54,Jane,Brown,jane.brown@example.com,Smartwatch,2022-05-10,634.64
55,Laura,Rodriguez,laura.rodriguez@example.com,Laptop,2022-05-12,580.03
56,Maria,Miller,maria.miller@example.com,Laptop,2022-05-15,109.66
57,Jane,Williams,jane.williams@example.com,Smartwatch,2022-05-17,1421.86
58,Anna,Smith,anna.smith@example.com,Smartwatch,2022-05-20,192.69
59,Anna,Brown,anna.brown@example.com,Tablet,2022-05-22,1111.94
60,Sophia,Rodriguez,sophia.rodriguez@example.com,Laptop,2022-05-24,1928.03
61,Maria,Williams,maria.williams@example.com,Headphones,2022-05-27,307.99
62,Anna,Rodriguez,anna.rodriguez@example.com,Smartphone,2022-05-29,1799.51
